,KHV (Viet~Fil),CDX (Dai~Fil),CHB (Han),JPT (Japan),EAS,SAS,EUR,AFR,YRI (Nigeria),PEL (Peru)
KHV (Viet~Fil),0.0,0.194,0.595,0.6,0.313,1.63,2.17,1.987,2.054,1.107
CDX (Dai~Fil),0.194,0.0,0.637,0.639,0.368,1.639,2.175,1.99,2.058,1.068
CHB (Han),0.595,0.637,0.0,0.227,0.296,1.626,2.265,2.054,2.119,1.389
JPT (Japan),0.6,0.639,0.227,0.0,0.303,1.526,2.2,1.969,2.035,1.368
EAS,0.313,0.368,0.296,0.303,0.0,1.592,2.196,1.995,2.061,1.23
SAS,1.63,1.639,1.626,1.526,1.592,0.0,1.27,1.412,1.517,1.277
EUR,2.17,2.175,2.265,2.2,2.196,1.27,0.0,1.877,1.99,1.66
AFR,1.987,1.99,2.054,1.969,1.995,1.412,1.877,0.0,0.18,1.737
YRI (Nigeria),2.054,2.058,2.119,2.035,2.061,1.517,1.99,0.18,0.0,1.826
PEL (Peru),1.107,1.068,1.389,1.368,1.23,1.277,1.66,1.737,1.826,0.0
