site_id,species_id,citekey,month,day,doy,date,year,season,type,presence,count,accuracy,vantage
ACUN,ADPE,coria2011laurie,,,,,1993,1993,nests,1,2008,1,ground
ACUN,ADPE,woehler1997status,,,,,1994,1994,nests,1,1920,1,
ACUN,ADPE,coria2011laurie,,,,,2004,2004,nests,1,1880,1,ground
ACUN,ADPE,lynch2014global,2,25,56,2011-02-25,2011,2010,nests,1,3079,5,vhr
ACUN,CHPE,poncet1985survey,12,28,362,1983-12-28,1983,1983,nests,1,4000,4,ground
ACUN,CHPE,coria2011laurie,,,,,2004,2004,nests,1,7716,1,ground
ACUN,MCPE,woehler1997status,,,,,1993,1993,nests,1,2,1,ground
ADAM,ADPE,lynch2014global,11,12,316,2009-11-12,2009,2009,nests,1,76,5,vhr
ADAM,ADPE,southwell2013population,1,21,21,2011-01-21,2011,2010,adults,1,425,1,aerial photo
ADAR,ADPE,wilson1983distribution,,,,,1982,1982,chicks,1,220900,2,
ADAR,ADPE,manaakiwhenua2021aerial,12,,,,1983,1983,nests,1,241272,2,aerial
ADAR,ADPE,manaakiwhenua2021aerial,12,,,,1986,1986,nests,1,238830,2,aerial
ADAR,ADPE,manaakiwhenua2021aerial,12,,,,1988,1988,nests,1,272338,2,aerial
ADAR,ADPE,manaakiwhenua2021aerial,12,,,,1990,1990,nests,1,169200,2,aerial
ADAR,ADPE,manaakiwhenua2021aerial,12,,,,1992,1992,nests,1,297443,2,aerial
ADAR,ADPE,manaakiwhenua2021aerial,12,,,,1998,1998,nests,1,338777,2,aerial
ADAR,ADPE,lynch2014global,2,16,47,2011-02-16,2011,2010,nests,1,338231,5,vhr
ADAR,ADPE,manaakiwhenua2021aerial,12,,,,2013,2013,nests,1,428516,2,aerial
ADAR,ADPE,manaakiwhenua2021aerial,12,,,,2015,2015,nests,1,445440,2,aerial
ADAR,ADPE,manaakiwhenua2021aerial,12,,,,2018,2018,nests,1,504332,2,aerial
ADAR,ADPE,manaakiwhenua2021aerial,12,,,,2023,2023,nests,1,337361,2,aerial
AILS,CHPE,poncet1985survey,12,28,362,1983-12-28,1983,1983,nests,1,6000,4,ground
AILS,CHPE,strycker2020a-global,2,10,41,2020-02-10,2020,2019,nests,1,3000,5,vhr
AITC,CHPE,lynch2013antarctic,11,25,329,1997-11-25,1997,1997,nests,1,4608,1,ground
AITC,CHPE,lynch2013antarctic,1,25,25,2009-01-25,2009,2008,chicks,1,8307,1,ground
AITC,CHPE,lynch2013antarctic,11,26,331,2008-11-26,2008,2008,nests,1,5620,1,ground
AITC,CHPE,lynch2013antarctic,1,22,22,2010-01-22,2010,2009,chicks,1,4870,1,ground
AITC,CHPE,lynch2013antarctic,11,17,321,2011-11-17,2011,2011,nests,1,4047,1,ground
AITC,CHPE,lynchantarctic,12,27,361,2018-12-27,2018,2018,nests,1,3797,1,ground
AITC,GEPE,lynch2013antarctic,12,13,347,1999-12-13,1999,1999,nests,1,1177,1,ground
AITC,GEPE,lynch2013antarctic,1,11,11,2002-01-11,2002,2001,chicks,1,1236,1,ground
AITC,GEPE,lynch2013antarctic,12,20,354,2003-12-20,2003,2003,nests,1,1486,1,ground
AITC,GEPE,lynch2013antarctic,1,22,22,2006-01-22,2006,2005,chicks,1,2483,1,ground
AITC,GEPE,lynch2013antarctic,11,18,322,2005-11-18,2005,2005,nests,1,1998,1,ground
AITC,GEPE,lynch2013antarctic,12,20,354,2006-12-20,2006,2006,nests,1,1639,1,ground
AITC,GEPE,lynch2013antarctic,12,3,337,2007-12-03,2007,2007,nests,1,1383,1,ground
AITC,GEPE,lynch2013antarctic,11,4,309,2008-11-04,2008,2008,nests,1,2210,1,ground
AITC,GEPE,lynch2013antarctic,12,29,364,2008-12-29,2008,2008,chicks,1,2742,1,ground
AITC,GEPE,lynch2013antarctic,12,10,344,2009-12-10,2009,2009,nests,1,1900,1,ground
AITC,GEPE,lynch2013antarctic,12,21,355,2010-12-21,2010,2010,nests,1,1319,1,ground
AITC,GEPE,lynch2013antarctic,11,17,321,2011-11-17,2011,2011,nests,1,2213,1,ground
AITC,GEPE,lynchantarctic,1,28,28,2014-01-28,2014,2013,chicks,1,2297,1,ground
AITC,GEPE,lynchantarctic,12,4,338,2014-12-04,2014,2014,nests,1,1916,1,ground
