site_id,species_id
ACUN,ADPE
ACUN,CHPE
ACUN,MCPE
ADAM,ADPE
ADAR,ADPE
AILS,CHPE
AITC,CHPE
AITC,GEPE
AITC,KIPE
AITK,CHPE
AKAR,ADPE
ALAS,ADPE
ALCO,CHPE
ALMI,GEPE
AMAN,EMPE
AMPH,ADPE
AMPH,CHPE
AMUN,EMPE
ANCH,ADPE
ANDE,CHPE
ANDI,ADPE
ANDR,ADPE
ANDS,ADPE
ANNE,ADPE
ANVS,CHPE
ANVS,GEPE
ARDL,ADPE
ARDL,CHPE
ARDL,GEPE
ARMS,ADPE
ARMS,CHPE
ARTH,ADPE
ASPL,CHPE
ASPL,MCPE
ASTD,EMPE
ASTE,CHPE
ASTS,CHPE
ASTW,CHPE
ATKA,EMPE
ATRI,CHPE
AUST,ADPE
AUST,EMPE
AVIA,ADPE
BACH,CHPE
BACK,ADPE
BAIL,CHPE
BAIL,MCPE
BALA,ADPE
BARC,ADPE
BARN,CHPE
BARN,GEPE
BART,CHPE
BART,GEPE
BATH,CHPE
BATT,ADPE
BBAY,EMPE
BEAG,ADPE
BEAN,ADPE
BEAN,EMPE
BEAR,EMPE
BEAU,ADPE
BEAV,CHPE
BECH,ADPE
BELL,CHPE
BELS,CHPE
BELS,MCPE
BENE,GEPE
BENN,CHPE
BENT,ADPE
BERK,ADPE
BERN,GEPE
BERT,ADPE
BIEN,ADPE
BILL,GEPE
BISC,ADPE
BISC,GEPE
BLAK,CHPE
BOLI,ADPE
BONE,CHPE
BONG,ADPE
BORE,ADPE
BORE,GEPE
BOWL,ADPE
BOWL,CHPE
BOWM,EMPE
BPTS,CHPE
BRAS,ADPE
BRAS,GEPE
BRAT,ADPE
BRDM,ADPE
BRDN,ADPE
BRDS,ADPE
BREA,GEPE
BRIM,CHPE
BRIT,CHPE
BRIT,GEPE
BRIT,MCPE
BROW,ADPE
BROW,GEPE
BRPW,CHPE
BRUC,CHPE
BRYA,EMPE
BRYE,GEPE
BRYS,GEPE
BSON,ADPE
BSON,EMPE
BUCH,CHPE
BURK,ADPE
BUSK,CHPE
BYEW,CHPE
CARL,CHPE
CARO,CHPE
CAST,CHPE
CASY,CHPE
CATH,CHPE
CBAR,ADPE
CBAY,ADPE
CBEK,EMPE
CBYW,EMPE
CCMP,CHPE
CCMP,MCPE
CCOE,CHPE
CCOE,GEPE
CDAV,ADPE
CECI,CHPE
CHAB,CHPE
CHAL,ADPE
CHAP,ADPE
CHAR,ADPE
CHAT,ADPE
CHEA,CHPE
CHEC,CHPE
CHI1,ADPE
CHI2,ADPE
CHI3,ADPE
CHIC,ADPE
CHII,ADPE
CHII,CHPE
CHIN,CHPE
CHIN,MCPE
CHIS,ADPE
CHNE,CHPE
CHPT,CHPE
CHPT,GEPE
CHRI,ADPE
CHRI,GEPE
CHSE,CHPE
CHUN,ADPE
CIER,GEPE
CIPT,CHPE
CLAR,ADPE
CLIN,CHPE
CLIN,MCPE
CLPT,CHPE
CMEL,CHPE
CMID,ADPE
CMUR,CHPE
CNOR,ADPE
COBA,CHPE
COCK,ADPE
COFF,CHPE
COLB,ADPE
CONE,ADPE
CONE,CHPE
CONF,CHPE
CONI,ADPE
CONW,CHPE
CORI,CHPE
CORM,ADPE
CORN,ADPE
COTT,ADPE
COUL,EMPE
CPTW,CHPE
CRAB,CHPE
CRAB,MCPE
CRAG,CHPE
CRIC,CHPE
CROB,CHPE
CROW,CHPE
CROZ,EMPE
CRUZ,ADPE
CRUZ,EMPE
CRWL,CHPE
CRZE,ADPE
CRZW,ADPE
CSOU,ADPE
CURZ,ADPE
CUVE,CHPE
CUVE,GEPE
CUVE,KIPE
CVIK,CHPE
DALR,ADPE
DALR,GEPE
DAMO,GEPE
DANC,GEPE
DARB,ADPE
DARL,EMPE
DARN,EMPE
DARW,ADPE
DAVE,CHPE
DAVI,ADPE
DAWS,EMPE
DBAY,EMPE
DECI,CHPE
DECS,CHPE
DEEI,CHPE
DELA,CHPE
DEMA,CHPE
