site_id,site_name,region,ccamlr_id,latitude,longitude
ACUN,Acuna Island,South Orkney Islands,48.2,-60.7612,-44.637
ADAM,Adams Island,Queen Mary Land,58.4.1,-66.5459,92.5486
ADAR,Cape Adare,Victoria Land,88.1,-71.3063,170.1999
AILS,Ailsa Craig,South Orkney Islands,48.2,-60.78,-44.631
AITC,Barrientos Island (Aitcho Islands),South Shetland Islands,48.1,-62.4071,-59.7517
AITK,Aitken Cove,South Orkney Islands,48.2,-60.738,-44.525
AKAR,Akarui Point,Queen Maud Land,58.4.2,-68.4999,41.3901
ALAS,Alasheyev Bight,Enderby Land,58.4.2,-67.654,46.109
ALCO,Alcock Island,Central-west Antarctic Peninsula,48.1,-64.24,-61.127
ALMI,Brown Station,Central-west Antarctic Peninsula,48.1,-64.895556,-62.870278
AMAN,Amanda Bay,Princess Elizabeth Land,58.4.2,-69.2711,76.8348
AMPH,Amphibolite Point,South Orkney Islands,48.2,-60.684,-45.339
AMUN,Amundsen Bay,Enderby Land,58.4.2,-66.7826,50.5437
ANCH,Anchorage Island,Southwest Antarctic Peninsula,48.1,-67.6042,-68.2089
ANDE,Cape Anderson,South Orkney Islands,48.2,-60.757,-44.601
ANDI,Andresen Island Site 2,Southwest Antarctic Peninsula,48.1,-66.875,-66.711
ANDR,Andresen Island Site 1,Southwest Antarctic Peninsula,48.1,-66.879,-66.649
ANDS,Andersen Island,Mac. Robertson Land,58.4.2,-67.4353,63.3572
ANNE,Cape Anne,Victoria Land,88.1,-73.617,169.85
ANVS,Anvers Island South West (7 km south of Gerlache Island),Central-west Antarctic Peninsula,48.1,-64.661,-64.247
ARDL,Ardley Island,South Shetland Islands,48.1,-62.213,-58.933
ARMS,Armstrong Reef,Southwest Antarctic Peninsula,48.1,-65.884,-66.197
ARTH,Arthurson Ridge,Victoria Land,88.1,-69.3634,158.5109
ASPL,Aspland Island,Elephant Island,48.1,-61.468,-55.894
ASTD,Astrid,Queen Maud Land,48.6,-69.9481,8.3176
ASTE,Astrolabe Island East,Northwest Antarctic Peninsula,48.1,-63.291745,-58.673355
ASTS,Astrolabe Island South,Northwest Antarctic Peninsula,48.1,-63.3273918,-58.7039093
ASTW,Astrolabe Island West,Northwest Antarctic Peninsula,48.1,-63.3074436,-58.7419741
ATKA,Atka,Queen Maud Land,48.6,-70.6142,-8.1317
ATRI,Atriceps Island,South Orkney Islands,48.2,-60.783,-45.151
AUST,Auster Islands,Mac. Robertson Land,58.4.2,-67.3966,63.9742
