observation_date,CXUHOUSINGLB0101M
1984-01-01,6674
1985-01-01,7087
1986-01-01,7292
1987-01-01,7569
1988-01-01,8079
1989-01-01,8609
1990-01-01,8703
1991-01-01,9252
1992-01-01,9477
1993-01-01,9636
1994-01-01,10106
1995-01-01,10458
1996-01-01,10747
1997-01-01,11272
1998-01-01,11713
1999-01-01,12057
2000-01-01,12319
2001-01-01,13011
2002-01-01,13283
2003-01-01,13432
2004-01-01,13918
2005-01-01,15167
2006-01-01,16366
2007-01-01,16920
2008-01-01,17109
2009-01-01,16895
2010-01-01,16557
2011-01-01,16803
2012-01-01,16887
2013-01-01,17148
2014-01-01,17798
2015-01-01,18409
2016-01-01,18886
2017-01-01,19884
2018-01-01,20091
2019-01-01,20679
2020-01-01,21417
2021-01-01,22624
2022-01-01,24298
2023-01-01,25436
2024-01-01,26266
