observation_date,CXUTOTALEXPLB0105M
1984-01-01,26138
1985-01-01,27760
1986-01-01,28698
1987-01-01,29603
1988-01-01,32084
1989-01-01,34231
1990-01-01,34265
1991-01-01,36151
1992-01-01,36094
1993-01-01,37299
1994-01-01,39033
1995-01-01,39395
1996-01-01,41965
1997-01-01,42846
1998-01-01,43811
1999-01-01,45998
2000-01-01,46794
2001-01-01,48722
2002-01-01,50432
2003-01-01,50468
2004-01-01,50974
2005-01-01,54354
2006-01-01,55697
2007-01-01,57285
2008-01-01,58632
2009-01-01,56879
2010-01-01,55212
2011-01-01,57460
2012-01-01,59980
2013-01-01,58842
2014-01-01,60417
2015-01-01,63671
2016-01-01,64910
2017-01-01,67604
2018-01-01,69131
2019-01-01,71173
2020-01-01,71905
2021-01-01,75284
2022-01-01,81961
2023-01-01,87922
2024-01-01,89972
