pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_orbsmax,pl_eqt,st_teff,st_rad,st_mass,sy_dist
"Kepler-1597 b","Kepler-1597","Transit",2016,2.94654179000,1.06000000,1.20000000,0.0413600000,1497.00,6377.00,1.390000,1.250000,1221.05000000
"Kepler-687 b","Kepler-687","Transit",2016,20.50586978000,3.52000000,12.20000000,0.1326000000,518.00,4841.00,0.730000,0.770000,633.66000000
"Kepler-1596 b","Kepler-1596","Transit",2016,66.37337900000,1.90000000,4.27000000,0.3237000000,471.00,5706.00,0.920000,0.950000,2146.23000000
"Kepler-692 b","Kepler-692","Transit",2016,21.81293494000,3.11000000,9.85000000,0.1495000000,639.00,5440.00,0.860000,0.900000,991.33600000
"Kepler-150 c","Kepler-150","Transit",2014,7.38199800000,3.69000000,13.20000000,0.0730000000,876.00,5560.00,0.939000,0.956000,891.09200000
"Kepler-1494 b","Kepler-1494","Transit",2016,91.08048200000,3.07000000,9.64000000,0.3982000000,415.00,5659.00,0.940000,0.960000,1285.48000000
"Kepler-1502 b","Kepler-1502","Transit",2016,41.70836290000,3.18000000,10.20000000,0.2482000000,608.00,6666.00,1.720000,1.440000,1514.02000000
"Kepler-1490 b","Kepler-1490","Transit",2016,92.43629730000,3.04000000,9.48000000,0.3729000000,348.00,5515.00,0.870000,0.900000,862.92000000
"Kepler-1491 b","Kepler-1491","Transit",2016,16.58617620000,1.51000000,2.89000000,0.1270000000,821.00,5728.00,0.990000,1.000000,2065.59000000
"Kepler-171 b","Kepler-171","Transit",2014,4.16697200000,2.34000000,6.08000000,0.0500000000,1053.00,5642.00,0.839000,0.978000,863.85500000
"Kepler-1926 b","Kepler-1926","Transit",2021,42.87770081000,2.31495961,5.97000000,0.2197000000,451.00,5256.00,0.832000,0.768000,667.40500000
"Kepler-1631 b","Kepler-1631","Transit",2016,4.09513932000,1.35000000,2.39000000,0.0511000000,1122.00,5679.00,0.950000,0.970000,1305.99000000
"KOI-1599.02","KOI-1599","Transit",2019,13.60880000000,1.90000000,9.00000000,0.1122930000,755.00,5833.00,0.972000,1.020000,1131.64000000
"Kepler-719 b","Kepler-719","Transit",2016,5.00731777900,8.52000000,54.50000000,0.0556000000,998.00,5777.00,0.980000,0.990000,2497.51000000
"Kepler-734 b","Kepler-734","Transit",2016,6.10485285600,3.56000000,12.40000000,0.0583000000,784.00,5326.00,0.780000,0.850000,1157.21000000
"Kepler-1408 b","Kepler-1408","Transit",2016,2.99793191000,0.89000000,0.64000000,0.0421800000,1616.00,6170.00,1.350000,1.210000,535.04800000
"Kepler-1427 b","Kepler-1427","Transit",2016,0.96897237600,1.10000000,1.37000000,0.0197000000,1844.00,5793.00,1.010000,1.010000,1220.00000000
"Kepler-1665 b","Kepler-1665","Transit",2020,11.95480000000,2.83910787,8.44000000,0.0960000000,906.00,5049.84,0.777785,0.842000,335.51500000
"Kepler-342 e","Kepler-342","Transit",2016,1.64422461300,0.88000000,0.61500000,0.0290900000,1897.00,6366.00,1.340000,1.260000,781.61100000
"Kepler-267 b","Kepler-267","Transit",2014,3.35372800000,1.98000000,37.90000000,0.0370000000,615.00,4258.00,0.555000,0.541571,264.99300000
"Kepler-1738 b","Kepler-1738","Transit",2021,7.67463016500,2.82472883,8.37000000,0.0781000000,957.00,6063.00,1.001000,1.079000,1302.87000000
"Kepler-746 b","Kepler-746","Transit",2016,3.48159251000,1.11000000,1.41000000,0.0435000000,1156.00,5418.00,0.930000,0.910000,450.00000000
"Kepler-760 b","Kepler-760","Transit",2016,8.70419416000,3.06000000,9.59000000,0.0808700000,748.00,5322.00,0.850000,0.890000,792.33600000
"Kepler-272 c","Kepler-272","Transit",2014,6.05734200000,1.79000000,97.80000000,0.0610000000,947.00,5297.00,0.929000,0.910000,889.60800000
"Kepler-775 b","Kepler-775","Transit",2016,0.97486892600,1.19000000,1.81000000,0.0183400000,1612.00,5468.00,0.840000,0.920000,398.67600000
"Kepler-498 b","Kepler-498","Transit",2016,9.61375356000,3.03000000,9.43000000,0.0897000000,931.00,5744.00,0.960000,0.980000,938.84400000
"Kepler-877 b","Kepler-877","Transit",2016,18.45847097000,2.12000000,5.14000000,0.1301000000,632.00,5261.00,0.810000,0.850000,602.17600000
"Kepler-865 b","Kepler-865","Transit",2016,14.16399294000,2.49000000,6.76000000,0.1057000000,694.00,5570.00,0.920000,0.930000,586.13700000
"Kepler-288 c","Kepler-288","Transit",2014,19.30577200000,2.85000000,8.50000000,0.1400000000,815.00,5918.00,1.091000,0.842000,1194.15000000
"Kepler-794 b","Kepler-794","Transit",2016,11.13125132000,2.11000000,5.10000000,0.1003600000,952.00,5839.00,1.380000,1.190000,931.19200000
"Kepler-485 b","Kepler-485","Transit",2016,3.24325979600,14.41000000,,0.0440100000,1243.00,5958.00,1.090000,1.070000,1140.95000000
"Kepler-340 c","Kepler-340","Transit",2014,22.82466900000,3.37000000,11.30000000,0.1780000000,946.00,6620.00,1.850000,1.650000,808.76200000
"Kepler-333 b","Kepler-333","Transit",2014,12.55115800000,1.32000000,28.20000000,0.0870000000,480.00,4259.00,0.534000,0.601000,324.41300000
"Kepler-951 b","Kepler-951","Transit",2016,71.52530845000,5.59000000,26.70000000,0.3091000000,340.00,4834.00,0.730000,0.770000,382.50900000
"Kepler-66 b","Kepler-66","Transit",2013,17.81581500000,2.80000000,8.25000000,0.1352000000,699.00,5962.00,0.966000,1.038000,1202.96000000
"Kepler-1805 b","Kepler-1805","Transit",2021,8.84794044500,1.54502915,3.00000000,0.0699000000,479.00,3867.00,0.552000,0.581000,221.63900000
"Kepler-1792 b","Kepler-1792","Transit",2021,4.19577980000,2.51990972,6.89000000,0.0488000000,1047.00,5229.00,1.005000,0.878000,601.02900000
"Kepler-276 d","Kepler-276","Transit",2013,48.64800000000,2.80000000,16.30000000,0.2466600000,489.00,5693.00,1.030000,1.100000,1144.86000000
"Kepler-372 c","Kepler-372","Transit",2014,20.05376300000,2.09000000,5.02000000,0.1540000000,755.00,6509.00,1.137000,1.202000,1493.95000000
"Kepler-114 b","Kepler-114","Transit",2014,5.18854900000,1.26000000,1.09000000,0.0530000000,586.00,4605.00,0.667000,0.770000,259.53300000
"Kepler-1207 b","Kepler-1207","Transit",2016,13.68237119000,1.62000000,3.26000000,0.1156000000,802.00,5909.00,1.060000,1.060000,1754.19000000
"Kepler-1249 b","Kepler-1249","Transit",2016,24.33471270000,2.38000000,6.26000000,0.1670000000,647.00,6202.00,1.280000,1.190000,1904.54000000
"Kepler-1859 b","Kepler-1859","Transit",2021,2.72959995300,1.58313575,3.13000000,0.0394000000,1455.00,5887.00,1.235000,1.090000,1331.25000000
"Kepler-1244 b","Kepler-1244","Transit",2016,3.70428172000,1.35000000,2.39000000,0.0502000000,1839.00,6680.00,1.770000,1.460000,1075.81000000
"Kepler-213 c","Kepler-213","Transit",2014,4.82296200000,2.34000000,6.08000000,0.0570000000,1060.00,5696.00,1.195000,1.070000,634.93900000
"Kepler-1388 b","Kepler-1388","Transit",2016,12.28546030000,2.59000000,7.22000000,0.0882000000,434.00,4098.00,0.610000,0.630000,453.79500000
